Key;Reasoning
97999447;First the input is copied. Then for each non-zero value x we complete a horizontal line to the right of that value by alternating the value x and five until the boundarie is reached. Do that for all non-zero values of the copied input. Dimension: As we only change values within the boundaries of the copied input and don't add anything the dimensions of input and output are the same. Values: Only use the seen values of the input and five. Changed values: Only change values to horizontal right of non-zero values from the copied input.
007bbfb7;Each non-zero entry in the input takes the whole input-grid and copies it into the position the non-zero entry was without changing the value. From that follows: Dimension: The input dimensions get squared. Values: The non-zero entries don't differ in values from input to output. Changed values: Copy the whole input grid into the same position of the output grid if the value is non-zero at that position in the input-grid.
00d62c1b;First the input gets copied and second the encircled zero values of the input are turnt into the same non-zero value in the output. From that follows: Dimension: Going from input to output the dimension stay the same. Values: The non-zero entries of the input have the same non-zero value in the output. The encircled zero values receive all the same non-zero value which is different from the non-zero values of the input. Changed values: Only the encircled zero values of the input change their values to non-zero values.
017c7c7b;First the input gets copied and then the top 3x3 grid gets appended to the bottom such that the pattern is enlarged by one 3x3 block. The non-zero values used all change uniformly to another non-zero value. From that follows: Dimension: Since a 3x3 grid is appended at the bottom the width dimension of the grid stays the same but the height of the grid is enlarged by three. Values: All non-zero values change their non-zero value uniformly to the same new non-zero value. Changed values: All non-zero values are changed as described and the newly appended 3x3 grid follows the same non-zero pattern as the top 3x3 grid just with the new non-zero value.
025d127b;First the input is copied and then one observes each structure of equally values non-zero values. The observed structures have a bottom part which is shaped like a L which has fallen to the left, this fallen L of the structure is stationary and won't change in the output. The rest of the structure is all shifted one tile to the right. Dimension: The dimension is the same in the input and the output since the only thing we do is shifting a part of the structure to the right. Values: The used values are the same as in the input. Changed values: The changes values are only the left and right boundarie values of the part of the structure being moved and the zero-values to the right of the moving part of the structure where the structure is moved to.
045e512c;First the input is copied and the base structure of non-zero values is observed. One can find the base structure by obsering the structure which is a superset of all the other structures. Once this base structure is obeserved it is continued for the unfinished indication of the structer with the same pattern and value showed by the indication. Dimension: As we copy the input and only work on the values within the copied boundaries the dimensions of input and output are the same. Values: Also we only use values already seen in the input since the only thing indicating a value usage are values used in the input. Changed values: Only change values that lie on line drawn from the base structure to the indicated structure and only change values used to fulfill the indicated base structures.
0520fde7;Imagine the 5 values as wall seperating two 3 by 3 grids. Then observe within the seperated 3 by 3 grids which one values would overlap when one would combine the 3 by 3 grids. The create a 3 by 3 output grid and turn the positions of the overlapping ones to the value 2. Dimension: The output has the dimension of the two seperated grids in our case this is 3x3. Values: Only use zero and two in the output. Changed values: Only change the value of the position which would be overlapping one values when one would lay the two seperated 3x3 grids over each other.
5269061;First copy the input and look the three example diagonals then continue the pattern by taking the value of a diagonal, skip the following two diagonals and then change the zero-values diagonal to the memorized value. Do that with all three example diagonals and the output should usually be diagonally striped grid. Dimension: Since nothing is added nor is it cut of the input and the output have the same dimensions. Values: The values used in the output should only be non-zero and only the seen non-zero values fom the input should be reused. Changed values. Since the diagonally striped pattern has to be set up only change the zero values from the copied input.
05f2a901;Copy the input and only change the position of the structure with the values equal to 2, the structure with the values 8 remains untouched. The structure of the values with 2 is shifted towards the structure with the values 8 such that both structures touch each other but don't overlap. Dimension: The input and output have the same dimension since the only modification is the shifting of the structure filled with 2s. Values: The only values used are 0, 2, and 8. Changed values: Only change the values such that the shifting effect is created without showing any modifications along the shifted way.
06df4c85;First copy the input then imagine it as many 2x2 grids divided by the the fours. Once that is understood find 2x2 grids that have the values (x) in it and connect them by making all the zero values along the way to value x. When connecting them always move in a straight line to the nearest 2x2 grid having the same input values. Do that for all 2x2 grids which have a partner 2x2 grid with the same value. Dimensions: The output has the same dimension as the input. Values: The values used are all seen already in the input. Changed values: Only change zero values connecting two partnering 2x2 grids with the same value in a straight line of 2x2 grids divided by the fours.
08ed6ac7;First the input is copied and then one has to image the different values as bars of fives. The fourth biggest bar will be turned into values of 4, the third biggest to values of 3, the second biggest to values of 2, and the biggest to values of 1. Dimension: As we only copy the input and change the values of the bars the dimension stays the same. Values: The only used values in the output will be 0, 1, 2, 3, and 4. Changed values: Only the values equal to five in the copied input will be changed in the input.
09629e4f;Look at the input grid and imagine it as nine 3x3-grids divided by line of values equal to five. Then look at each of the 3x3 grids and search for the one with just four non-zero values in it and memorize it. Once this grid has been detected create nine 3x3 grids divided by lines of fives and copy the pattern of the 3x3 grid memorized earlier just into bigger scale. This means for example if the top left entry of the memorized 3x3 grid is red then the top left 3x3 grid of the output should all be red. Dimension: The dimension of the output therefore is the same as seen in the input. Values: The used value are 0,5, and the four values seen in the memorized 3x3 grid of the input. Changed values: Starting from nine 3x3 grids filled with zeros and divided by lines of fives we change the 3x3 grids which are at a position of a non-zero value in the memorized 3x3 grid of the input.
0962bcdd;First copy the input then observe the non-zero plus structures and extend the middle value diagonally for two entries in each diagonal direction. Also extend the outer values by one in each straight direction. Dimension: As we copy the input and don't add anything we the output dimension is the same as the input dimension. Values: Only use the values seen in the input. Changed values: Only change the value in a diagonal line from the middle of the plus structure and the ones next to the outer values of the plus structure.
0a938d79;First copy the input then detect the non-zeron values and complete vertical lines with the same value. Then detect the pattern and continue it to the right until the boundaries are reached. Dimension: The dimensions stay the same because we copy the input and don't add anything to it other than changing zero values. Values: All values in the output have to be seen in the input already. Changed values: Only change value on a vertical line of the initial non-zero values of the input and zero values which lie on the pattern positions we want to continue.
0b148d64;There are three regions with the same value x and one region with another value y in the input. Look at the region with value y and create the output such that the region perfectly fits into it without changing any value. Dimension: The dimension depends on the region of value y, it should be rectangular in such a sense that it perfectly fits the region with value y into it. Values: The only values used in the output will be 0 and y. Changed values: Technically values aren't changed just parts of the input are cut off.
0ca9ddb6;First copy the input and then extend each value equal to 2 with a 4 in each diagonal direction and extend each value of 1 in each horizontal and vertical direction with a value of 7. This gives the desired output. Dimension: The dimension stays the same as the input is copied and not extended afterwards. Values: The values used in the output are the ones already seen in the input plus 1 and 7. Changed values: Only change 0 values being directly next to a 2 in a diagonal sense and zero values being horizontally or vertically next to a 1.
0d3d703e;Copy the input and change values as following (1->5,2->6,3->4,4->3,5->1,6->2,8->9,9->8). Dimension: The dimensions stay the same since we copy from the input and only change the values. Values: The used values depend on the seen values in the input following the rule described earlier. Changed values: Every value is changed when going from input to output.
0dfd9992;First copy the input then the only goal is to get rid of the zero-values destroying the pattern which is already visible. Figure out the underlying pattern and change the zero values step by step by looking for other parts in the input which look similar and see how they were handled in that case. Dimension: Dimensions stay the same since we only copy the input and change the zero values but don't extend it. Changed values: Change only zero values from the copied input.
0e206a2e;First copy the input then look at the connected structure and think about how it needs to be rotated such that it can fit into one of the distributed entries of non-zero values. Do that for both connected structures. Once this is figured out shift and rotate them such that they overlap the distributied non-zero values and fill the old position with zero values. Dimension: The dimension stays the same since we copy the input and don't extend it. Values: All values used in the output are already seen in the input. Changed values: Change the values of the old positions of the connected structures to 0 and change the values of the new positions such that they resemble the connected structures from the input again.
10fcaaa3;First double the dimension of the input then copy the input 4 times. One time paste it into the top left corner,then the top right, then the bottom left, and then the bottom right. Once done look at each non-zero value in the grid thats created and extend the neighboring diagonal entry of each non-zero value in a sense that you change the value if it is 0 to 8. The resulting grid is the solution. Dimension: The dimensions are double along both axis. Values: Only use values already seen in the input and 8. Changed values: Change the values being zero and a diagonal neighbor of the grid you prepared with copying the input four times into the new dimensions.
11852cab;Copy the input and then extend the already started structure such that is becomes a 5x5 structure where non-zero values are only neighboring diagonally and the pattern of the non-zero values follow the started structure from the input. Dimension: The dimension stays the same since we only copy the input and then change values. Values: The values used in the output are all already seen in the input. Changed values: Change only zero values to fulfill the structure desired and never change a zero value such that two non-zero values are neighboring horizontally or vertically.
1190e5a7;Observe the input and try to find the domination value. There is one dominating value and one value only used for seperating. Once understood detect how many seperated regions of the dominating value there is and use the outcome as dimensions. If there 3 seperated regions of the dominating value horizontally and 5 vertically then create a output which is 3x5 and fully filled with the dominating value. Dimension: The dimension is key here and depends on the amount of seperated regions of the dominating value horizontally and vertically. Values: The only used value is the dominating value of the input. Changed values: Once the grid with the right dimension is created fill each entry with the dominating value.
137eaa0f;Look at the input and detect the different connected non-zero structures. Each has one five value to it. To produce the output one has to create a 3x3 grid and first put the 5 value in the middle entry. Then one has to fill the rest of the grid in the same manner in which the non-zero values are located to the 5 value. Dimension: The output dimension is a 3x3 grid. Values: All values used in the output grid were seen in the input. Changed values: There is no real changing of values since the output grid is built step by step.
150deff5;First the input is copied then one has to divide the structure consisting of 5s into parts of 2x2 squares and 3-entry lines (no matter if they horizontal or vertical). Once this classification is done turn all 2x2 sections into the value 8 and all lines with length 3 into the value 2. Dimension: The dimension is the same since we copy the input and then just change values and don't extend anything. Values: The used values in the output will only be 0,2, and 8. Changed values: Change every non-zero values to 8 or 2 depending on the classification necessary to seperate the strucutre distinctively into these two types of structures.
178fcbfb;First copy the input and then detect all the non-zero values. Once they got detected extend 2 values into a vertical line of 2s and extend 3s and 1s into horizontal lines of 3s or 1s respectively. If lines cross at an entry choose the horizontal line value. Dimension: The dimension in the input and the output stays the same since the input is copied and then only values are changed but the grid is not extended. Changed values: Only value in a vertical line to a 2 or in a horizontal line to a 3 or 1 are changed.
1a07d186;First the input is copied and one has to detect the vertical lines of non-zero values. Once they are understood look at the freely distributed non-zero values not being part of a vertical line. Each of these values is pulled towards the vertical line with the same value like gravity such that it ends up being a one-entry-extension into a horizontal direction of the line. If the value was located on the left site of the line it will extend the line in that row to the left site by one value. Vice versa on the right site. At the end once all freely distributed values with partner lines have been combined turn each value without direct connection to a vertical line to zero. Dimension: The dimension stays the same since the input is only copied but not extended. Neither does it follow another rule causing the output dimension to differ from the input dimension. Values: The used values in the output will only by the values represented in a vertical line in the input and zero. Changed values: All freely distributed non-zero values without partner line will be turned to zero. The left or right neighboring entry to a line will be turned to the value of the line if there is a partnering freely lying value in that row to the left or right of that line.
1b2d62fb;In the input are two 5x3 sections divided by a vertical line of 1s. Look at both sections and search for the positions where both 5x3 grids have a zero value. Then create an output grid with only 0s of the dimensions 5x3. Then change the value of the positions where both sections of the input have a zero into the value 8. Dimension: Following to the overall rule the output dim will be 5x3. Values: The only used values in the output will be 0 and 8. Changed values: As explained in the overall rule only change the positions where both sections of the input have a 0 into and 8 in the 5x3 output grid.
1b60fb0c;First copy the input and then observe the unfinished structure where 3 time the same structure is shown with values of 1s. Complete the structure such that it is symmetric by adding the unfinished part with values of 2s. Dimension: The dimension of the output is the same as the dimension in the input. Values: Only values 0,1, and 2 are used in the output. Changed values: 0s which are in the position where the unfinished structure should be are changed to 2s.
1bfc4729;Copy the input and then look at the structure the other output examples created. Do the same but with the two non-zero values shown in the current input. Dimension: The dimension stays the same since the input is only copied and changed but not extended. Values: The used values in the output are only 0 and the two non-zero values of the input. Changed values: 0s which are in a position where the final structure should be are turned into distance-wise nearest non-zero value.
1c786137;First one has to detect the frame indicated by one constant non-zero value. Once this is done just look at the entries in the frame and use exactly them with the respective dimensions as output. Dimension: Depends on the region in the frame. Values: Used values in the output are all seen in the frame of the input. Changed values: No values are changed at all only the region the frame is copied.
1caeab9d;There are three connected non-zero structure one of them having the value 1. Copy the input and bring all the structures to the same row-range as the structure with value 1 occupies. Dimension: The input dimension is the same as the one which will be used in the output. Values: All values used in the output are 0,1,2, and 4. Changed values: Change the values such that all structures are on the same height as the structure with the 1s all other values should be 0.
1cf80156;The is only one connected non-zero structure in the input. The output is created by cutting this non-zero structure out. I.e. cut everything of such that the structure exactly fits into the resulting rectangular. Dimension: The dimension of the output is such that the non-zero structure fits exactly into that rectangle. Values: All used values will be already seen in the input. Changed values: There is no change in values happening since only unnecessary overhang is cut off.
1e0a9b12;Look at the input and assume gravity to the bottom exists like in tetris. Just apply that rule to the input and the resulting implications and changes will give the output. Dimension: The dimension of the output is the same as the input has. Values: All used values in the output have been seen in the input. Changed values: Change the values such that the effect of gravity seems to have been applied, i.e. there cannot be vertically zero values between non-zero values.
1e32b0e9;Look at the input there are nine regions divided by lines of value x. In the top left region is the finished structure and in some of the other there is the same structure but unfinished (could even be a blank region). Now copy the input and finish all structures using the value x which divides the regions. Dimension: The output dimension is the same dimension as used in the input. Values: All values used in the output will be already seen in the input. Changed values: Change the values which are in a region of an unfinished structure which is missing to have a finished structure.
1f0c79e5;Copy the input there will be a connected non-zero structure. If there is a 2 in the non-zero structure extend the square into that direction until you reach the boundaries of the dimension. Dimension: Output-dim is the same as the input-dim. Values: The output will only use non-zero values which have been seen in the input except for 2. Changed values: Change the values in the direction of the 2 value of the square.
1f642eb9;Copy the input and detect the connected non-zero structure with value 8 and the other freely distributed non-zero values at the edge of the input. Now change for each non-zero value on the edge the nearest 8 value in the detected structure to this value. Dimension: The output-dim is the same as the input-dim. Values: All used values in the output will be seen in the input. Changed values: Change the values of the structure having 8s being nearest to the freely distributed non-zero value on the edge of the input.
1f85a75f;In the input there are some random freely distributed non-zero values and one connected structure of uniform non-zero values nowhere else found in the input. The output is exactly this uniformly valued structure. Create the dim such that this structure fits perfectly into that rectangle. Dimension: The output dimension depends on the uniformly connected structure. Values: The only used values in the output will be zero and the one used by the uniformly value structure. Changed values: Values aren't changed the uniformly valued structure is only just copied.
1f876c06;Copy the input and connect each equal value pair diagonally. Dimension: The output-dim is the same as the input-dim. Values: All values used in the output are already seen in the input. Changed values: The values to be changed are the zero values are lying on the diagonal line of two equal values.
1fad071e;Just count the amount of 2x2 squares filled with value 1 and then create a 1x5 grid and insert from left to right as many one values as you counted 2x2 grids earlier the rest of the output grid is filled with 0s. Dimension: The output dimension is 1x5. Values: The possible values in the output are 0 and 1. Changed values: In the output grid from left to right change the values to 1 for as many entries as counted 2x2 grids filled with 1s.
2013d3e2;There is connected non-zero structure in the input. Detect the top left 3x3 part of the structure such that the top left corner of the structure is the middle entry of the 3x3 grid. Copy that grid and use it as output. Dimension: The output dimension is therefore 3x3. Values: The used values in the output depend on the values of the top left corner of the structure where the top left entry of the structure is the middle part of the 3x3 grid. Changed values: Changing of values is not needed since it is just a question of copying and cutting off from the input.
2204b7a8;Copy the input and detect the two solid lines, they can either be on the left and right edges or top and bottom edges. Lets assume one line has uniformely the value x and the other has uniformely the value y. Between these two lines there are freely distirbuted 3s. Now change each 3 to the value of the line nearest to it. Thats will give you the output. Dimension: The output dimension is the same as the input dimension. Values: The final values in the output will only be 0, x, and y. Changed values: Change the values of all entries being 3 in the input.
22233c11;Copy the input and observe the structure of the diagonally neighboring squares filled with 3s. Then add the same structure but with 8s such that they are lying on diagonal going through the contact point of the two structures filled with 3s. Notice that the added structure has to fit two time into that diagonal of zero values, so don't insert them too close to the original structure. If the added structures don't fully fit into the dimensions from the copied input just insert as much as possible without breaking the rules and extending the output dimensions. Dimension: The output-dim is the same as the input-dim. Values: The used values will be 0,3, and 8. Changed values: Change the zero values being in a position in which the added 8 structure should be such that the rule is followed.
2281f1f4;Copy the input and detect the non-zero values on the edges. Imagine from each value on the top a vertical line and from each non-zero value on the right imagine a horizontal line. Then turn each value where one of these imaginary lines crosses to 2. Dimension: The output-dim is equal to the input-dim since the input is only copied and then zero value within this grid are changed. Values: All used values in the output either are 0,2, and 5. Changed values: First imagine the lines explained earlier then observe where these imaginary lines would cross. These positions will be changed from 0 to 2.
228f6490;First copy the input then look for the structure with value 5. They have surrounded 0 values. Then detect the connected non-zero values in the rest of the input and once one structure is detected which matches the structure of the surrounded zero-values change them into the value of the freshly found structure and zero out the values outside of the 5s. Do that for all connected non-zero structures until there are non 0 values surrounded by 5s anymore then stop modifiying the copied input. Dimension: The output-dim is the same as the input-dim. Values: All values used in the output have been already seen in the input. Changed values: Change only the zero values surrounded by fives to the value of the fitting structure and once such a fitting structure is inserted into the frame built by 5s zero out this structure outside of the 5s.
22eb0ac0;First copy the input then detect the rows where two matching values are on each end of the row. Fill the space between the two matching values with the value the boundaries have. Dimension: The output-dim matches the input-dim since we only copy the input and then change values. Values: All values used in the outout will be seen in the input before. Changed values: Change the zero values in rows where the left and right and of the row have matching values.
234bbc79;First imagine that each value 5 turns into the non-five value except for zero it is connected with. Then connect each of the resulting components such that they form a line which goes from left to right. Dimension: Choose the dimension such that the resulting line perfectly fits into the created grid. Values: Only use 0 and the non-five values seen in the input. Changed values: Values are not changed since the output is built from the ground up.
239be575;There two 2x2 grids with value 2 in the input. If they are connected by any path of non-zero values then the output is a 1x1 grid with value 8. If not then the value is a 1x1 grid with value 0. Dimension: The output dimension is 1x1. Values: The used output value is either 0 or 8. Changed values: Not applicable in this case.
23b5c85d;First detect each structures which are uniformely valued. The one with the smallest dimensions will be the output. Dimension: The output-dim has the same dimensions as the structure with one uniform value with the smallest dimensions. Values: Only use the value of the smallest structure. Changed values: Not applicable in this case.
253bf280;First copy the input then connect each positions with value 8 which have a partnering value 8 in a horizontal or vertical straight line. Use the value 3 to connect the two 8s. Dimension: The output-dim is the same as the input-dim. Values: The used values of the output are therefore 0,3, and 8. Changed values: The entries being zero and lying (vertically or horizontally) between two 8s will be changed.
25d487eb;First copy the input then detect the pyramid and observe in which direction the pyramid is pointing. Once detected memorize the non-zero value of the input which occurs just once and extend the point of the pyramid by a line of that non-zero value which hits the boundaries of the grid. Dimension: The input-dim is the same as the output-dim since the input is copied and then entries are changed but there is no extension or cutting of happening. Values: All used values in the output have been already seen in the input. Changed values: change the zero values in a line of the tip of the pyramid.
25d8a9c8;Look at the 3x3 input grid and remember the rows that have a uniform values. Then create the 3x3 output grid and fill it with zeros except the rows which have uniform values in the input. Fill them with 5s. Dimension: The output dimension is therefore 3x3. Values: Only 0s and 5s are used in the output. Changed values: Fill the output grid with 0s and only change the rows to 5s where the input row has uniform values.
25ff71a9;Take the input and just shift the connected non-zero structure one row down. This gives the output. Dimension: The dimension stays unchanged from input to output. Values: The value therefore stay the same too from input to output. Changed values: Change the values below the connected non-zero structure such that the effect appears as if the structure got shifted one row down.
264363fd;First copy the input and observe that there is a base non-zero value which frames all the other non-zero values. Then there are the framed regions with unifrom values x and single exceptions y. Also there is connected non-zero structure in differing from the base value and not in one of these uniform regions, memorize this structure and delete it by turning all its values to the base value. Now for each trigger with value y in the region having value x apply the structure to it and extend the two line going away from the trigger until the boundaries of the region are reached. Dimension: Since the copied input is not changed in its dimensions the output-dim is the same as the input-dim. Changed values: Change the values where the structure in the base value was originally and change the values which need to be changed to extend the trigger by the structure as explained before.
27a28665;Look at the input and depending on the structure of the non-zero values the output is a 1x1 grid with a certain value. If the non-zero structure is a plus sign the 1x1 output has value 6. If all diagonals are non-zero then the output value is 2. If the top right 2x2 grid is non-zero and the entry in the bottom left corner is non-zero then the output value is 3. If it is none of the named then the output value is 1. Dimension: The output-dim therefore is 1x1 everytime. Values: The value used is either 6, 2, 3, or 1. Changed values: No values are changed since output is built from ground up.
28bf18c6;Look at the connected non-zero structure then create an output grid which exactly fits two of these structures next to each other and insert them side by side. Dimension: If the non-zero structure has a height of u and a width of v then the dimensions are u x (2 times v). Values: The values used in the output will all be already seen in the input. Changed values: Not applicable since only the structure is copied 2 times next to each other.
28e73c20;Copy the input dimensions and then fill everything with zeros. Then start at the top left corner and create a swirl using the value three until the middle is reached. Dimension: The dimension of the output is the same as the input has. Values: Only 0s and 3s will be used. Changed values: Change the zero values lying on the path of the swirl of threes.
29c11459;Copy the input and then extend each non-zero value horizontally towards the middle but turn the middle value of each row with extended non-zero values to 5. Dimension: The dimension of the output is the same dimension that's used in the input. Values: All values used in the output have been seen in the input except for five. This is the only new value. Changed values: Change the zero values of each row following the rule explained earlier which has a non-zero value in it in the input.
29ec7d0e;The input has wholes of zero values which destroy the patterns. Just copy the input and look for each zero value into a region which looks similar to the one and has no wholes of zeros and reconstruct the full structure step by step by doing so. This will give the output grid. Dimension: Therefore the dimension is equal in the input and output. Values: All values used in the output will be already seen in the input. Changed values: Change each zero value of the copied input into the value it is supposed to be to fulfill the currently destroyed structure.
2bcee788;Copy the input and mirror the non-zero structure at the point of the values equal to 2. Once that is done fill the rest of the grid which still is 0 with the value 3. Dimension: The output-dim is the same as the input-dim. Changed values: Change the values in the range of the mirrored structure and change each other remaining zero value such that the output doesn't have 0s at all.
2bee17df;Copy the input and look for the rows and columns where there are a 2 and a 8 at the edge of the grid and only zero values are between them. If such a case if found turn each 0 value between them to 3. Do that for all found cases. Dimension: Since following the rule explained the input is copied and only values are changed then output-dim is the same as the input-dim. Values: The used values of the output are therefore all seen in the input except for the 3 this is the only newly used value. Changed values: Following the rule only change zero values being between 2 and 8 where 2 and 8 have to be on the edge of the grid.
2c608aff;Copy the input then detect that there is one base value which uniformely surrounds all other structures and. After that is understood look for the region breaking that pattern by using rectangular shape of another uniform value. Once that is done as well now connect each freely distributed value which doesn't equal the base value to the region memorized with a straight line. Do it by changing the base values between the freely distributed value and the region memorized to the value of the freely distributed entry. Dimension: The output-dim therefore matches the input-dim since we copy and change value but don't extend or cut off. Values: All values used in the output have been seen in the input. Changed values: Change the values having the base value between the freely distributed value and the rectangular shape memorized.
2dc579da;The input shows 4 regions divided by lines of a uniform value not used anywhere else but in the lines. Look for the region that is unequal to the other 3 regions. Then use this region as output grid. Dimension: The output dimension depends on the dimension of the regions the input got divided to. Changed values: There is no changing of values happening since the output is built from the ground up.
2dd70a9a;Copy the input and then start from the values equal to three and try to find a path to the values of 2 by just changing values in a straight line to the value of three. You are only allowed to decide a new direction when you encounter an 8 while going along the straight path explained in the sentence before. At the end only change the shortest path found to values of three and keep the rest as has been in the input. Dimension: The output-dim is therefore the same as the input-dim. Values: All values used in the output are have already been seen in the input. Changed values: Change only the zero values along the shortest path of straight lines from the 3s values to the 2s.
2dee498d;Look at the input and observe that there is one pattern just repeated 3 times. Extract the square pattern and use it as output. Dimension: The dimension depends on the pattern but seems to usually be square-shaped so a AxA grid. Values: All values used in the output have been seen in the input. Changed values: There is no change in values happening.
31aa019c;Copy the input and search for the value x that only occurs once. Once this value got detected change all other entries to 0 and then put frame of 2s around the single value x. This is the output. Dimension: The output-dim is the same as the input-dim since the input is copied and then only changed w.r.t. values and not extended or cut off. Values: In the output only 0, x, and 2 is used. Changed values: Change each value except x and change all direct neighbor values of x to 2. With all direct neighbors I also mean the diagonal neighbor entries.
321b1fc6;There are several connected non-zero structures in the input. Everyone of them but one uses uniformly the same value. Detect the once using other values and apply the same value pattern this one leverages onto the other structures. Finally delete the non-zero structure which initially showed the new pattern by setting each value of it to zero. Dimension: The output-dim and the input-dim is the same since the input is only copied and then the values are changed but the boundaries are not extended or cut off. Values: Only the values which are shown in the irregular structure and 0 are used in the output. Changed values: Change every value of each connected non-zero structure.
3345333e;There is one connected non-zero structure in the input but it is destorted by a uniformly values rectangle. Copy the input and clean up the rectangle such that the result gives only a symmetric uniformly valued non-zero structure without the destortion by the rectangle. All other values should be zero. Dimension: The output-dim is the same as the input-dim since the input is copied and then only values are changed but the boundaries are not extended. Values: The values used will only be 0 and the value used by the symmetric structure. Changed values: All values of the destorting rectangle will be changed.
